iter	Passed	Remaining
401	488	726
402	489	724
403	489	722
404	490	720
405	491	719
406	492	717
407	493	715
408	493	713
409	494	711
410	495	709
411	496	708
412	497	706
413	498	705
414	498	703
415	499	701
416	500	699
417	500	697
418	501	695
419	502	694
420	503	692
421	504	690
422	504	688
423	505	686
424	506	685
425	506	683
426	507	681
427	508	679
428	509	677
429	510	676
430	510	674
431	511	672
432	512	670
433	513	669
434	513	667
435	514	665
436	515	663
437	515	661
438	516	660
439	517	658
440	518	656
441	518	654
442	519	653
443	520	651
444	521	650
445	522	648
446	523	647
447	523	645
448	524	643
449	525	642
450	526	640
451	526	638
452	527	637
453	528	635
454	529	633
455	529	631
456	530	630
457	531	628
458	531	626
459	532	625
460	533	623
461	534	621
462	534	620
463	535	618
464	536	616
465	536	615
466	537	613
467	538	612
468	539	610
469	539	608
470	540	607
471	541	605
472	542	604
473	543	602
474	543	601
475	544	599
476	545	598
477	546	596
478	547	595
479	547	593
480	548	591
481	549	590
482	549	588
483	550	586
484	550	584
485	551	583
486	552	581
487	553	580
488	553	578
489	554	577
490	555	575
491	555	573
492	556	572
493	557	570
494	557	569
495	558	567
496	559	565
497	559	564
498	560	562
499	561	561
500	561	559
501	562	557
502	563	556
503	563	554
504	564	553
505	564	551
506	565	549
507	566	548
508	567	547
509	567	545
510	568	544
511	569	542
512	570	541
513	570	539
514	571	538
515	572	536
516	572	535
517	573	533
518	574	532
519	574	530
520	575	529
521	576	527
522	576	525
523	577	524
524	578	522
525	578	521
526	579	520
527	580	518
528	581	517
529	582	516
530	582	514
531	583	513
532	584	511
533	584	510
534	585	508
535	586	507
536	586	505
537	587	504
538	588	503
539	588	501
540	589	500
541	590	498
542	590	497
543	591	495
544	592	494
545	592	493
546	593	491
547	594	490
548	594	488
549	595	487
550	596	485
551	596	484
552	597	483
553	598	481
554	599	480
555	599	478
556	600	477
557	600	476
558	601	474
559	602	473
560	602	471
561	603	470
562	604	468
563	604	467
564	605	466
565	606	465
566	607	463
567	608	462
568	608	461
569	609	459
570	610	458
571	611	457
572	611	455
573	612	454
574	613	453
575	614	452
576	614	450
577	615	449
578	616	448
579	617	446
580	617	445
581	618	444
582	619	442
583	619	441
584	620	440
585	621	438
586	621	437
587	622	436
588	623	435
589	624	433
590	624	432
591	625	431
592	626	429
593	626	428
594	627	427
595	628	425
596	628	424
597	629	423
598	630	422
599	631	420
600	631	419
601	632	418
602	633	416
603	634	415
604	634	414
605	635	413
606	636	411
607	636	410
608	637	409
609	638	408
610	639	406
611	639	405
612	640	404
613	641	403
614	642	401
615	642	400
616	643	399
617	644	398
618	644	396
619	645	395
620	646	394
621	647	393
622	647	391
623	648	390
624	649	389
625	650	388
626	650	387
627	651	385
628	652	384
629	652	383
630	653	382
631	654	381
632	655	379
633	655	378
634	656	377
635	657	376
636	657	374
637	658	373
638	659	372
639	659	371
640	660	369
641	661	368
642	662	367
643	662	366
644	663	365
645	664	363
646	664	362
647	665	361
648	666	360
649	667	359
650	667	358
651	668	356
652	669	355
653	670	354
654	671	353
655	671	352
656	672	351
657	673	349
658	673	348
659	674	347
660	675	346
661	676	345
662	676	344
663	677	342
664	678	341
665	679	340
666	680	339
667	681	338
668	682	337
669	683	336
670	683	335
671	684	334
672	685	333
673	686	331
674	687	330
675	688	329
676	689	328
677	689	327
678	690	326
679	691	325
680	691	324
681	692	322
682	693	321
683	694	320
684	694	319
685	695	318
686	696	317
687	697	316
688	697	315
689	698	313
690	699	312
691	700	311
692	701	310
693	701	309
694	702	308
695	703	307
696	703	306
697	704	304
698	705	303
699	706	302
700	707	301
701	707	300
702	708	299
703	709	298
704	710	297
705	710	296
706	711	294
707	712	293
708	713	292
709	713	291
710	714	290
711	715	289
712	716	288
713	716	287
714	717	286
715	718	284
716	719	283
717	719	282
718	720	281
719	721	280
720	722	279
721	722	278
722	723	277
723	724	276
724	725	275
725	725	273
726	726	272
727	727	271
728	727	270
729	728	269
730	729	268
731	730	267
732	730	266
733	731	265
734	732	264
735	733	263
736	734	261
737	734	260
738	735	259
739	736	258
740	737	257
741	737	256
742	738	255
743	739	254
744	739	253
745	740	252
746	741	250
747	741	249
748	742	248
749	743	247
750	744	246
751	744	245
752	745	244
753	745	243
754	746	242
755	747	241
756	747	240
757	748	238
758	749	237
759	749	236
760	750	235
761	751	234
762	751	233
763	752	232
764	753	231
765	753	230
766	754	229
767	755	228
768	755	227
769	756	225
770	757	224
771	757	223
772	758	222
773	759	221
774	759	220
775	760	219
776	761	218
777	761	217
778	762	216
779	763	215
780	763	214
781	764	213
782	765	212
783	766	211
784	766	210
785	767	209
786	768	208
787	769	207
788	770	206
789	771	205
790	771	203
791	772	202
792	773	201
793	774	200
794	774	199
795	775	198
796	776	197
797	777	196
798	778	195
799	778	194
800	779	193
801	780	192
802	781	191
803	782	190
804	782	189
805	783	188
806	783	187
807	784	186
808	785	185
809	785	184
810	786	183
811	787	182
812	787	181
813	788	180
814	789	179
815	789	178
816	790	177
817	790	175
818	791	174
819	792	173
820	792	172
821	793	171
822	794	170
823	795	169
824	795	168
825	796	167
826	796	166
827	797	165
828	798	164
829	799	163
830	799	162
831	800	161
832	800	160
833	801	159
834	802	158
835	802	157
836	803	156
837	804	155
838	804	154
839	805	153
840	806	152
841	807	151
842	808	150
843	808	149
844	809	148
845	809	147
846	810	146
847	811	145
848	811	144
849	812	143
850	813	142
851	814	141
852	814	140
853	815	139
854	816	138
855	816	137
856	817	136
857	817	135
858	818	134
859	819	133
860	819	132
861	820	131
862	821	130
863	822	129
864	822	128
865	823	127
866	824	126
867	825	125
868	826	124
869	826	123
870	827	122
871	828	121
872	829	120
873	830	119
874	830	118
875	831	117
876	832	116
877	833	115
878	834	114
879	834	113
880	835	112
881	836	111
882	837	110
883	838	109
884	838	109
885	839	108
886	840	107
887	841	106
888	842	105
889	843	104
890	844	103
891	845	102
892	846	101
893	846	100
894	847	99
895	848	98
896	849	97
897	850	96
898	851	95
899	852	94
900	853	93
901	854	92
902	855	91
903	855	90
904	856	89
905	857	88
906	858	88
907	859	87
908	860	86
909	861	85
910	862	84
911	863	83
912	864	82
913	865	81
914	866	80
915	868	79
916	869	78
917	870	77
918	871	76
919	872	75
920	873	74
921	874	73
922	875	73
923	877	72
924	878	71
925	879	70
926	880	69
927	881	68
928	882	67
929	884	66
930	885	65
931	886	64
932	887	63
933	888	62
934	888	61
935	890	60
936	891	59
937	892	58
938	893	58
939	894	57
940	895	56
941	896	55
942	897	54
943	898	53
944	899	52
945	900	51
946	901	50
947	902	49
948	903	48
949	904	47
950	905	46
951	906	45
952	907	44
953	908	43
954	909	42
955	910	41
956	911	40
957	912	40
958	913	39
959	915	38
960	916	37
961	917	36
962	918	35
963	921	34
964	922	33
965	924	32
966	925	31
967	926	30
968	928	29
969	929	28
970	930	27
971	931	26
972	932	25
973	934	24
974	935	23
975	936	23
976	938	22
977	939	21
978	940	20
979	942	19
980	942	18
981	943	17
982	945	16
983	946	15
984	947	14
985	948	13
986	949	12
987	949	11
988	951	10
989	952	9
990	953	8
991	954	7
992	955	6
993	956	5
994	957	4
995	959	3
996	960	2
997	961	1
998	962	0
999	963	0
